Data,Time,Date
"Channel1:89",18:14:35.071,26/2/2022
"Channel2:947",18:14:35.071,26/2/2022
"Channel1:90",18:14:35.071,26/2/2022
"Channel2:948",18:14:35.071,26/2/2022
"Channel1:91",18:14:35.071,26/2/2022
"Channel2:949",18:14:35.071,26/2/2022
"Channel1:88",18:14:35.071,26/2/2022
"Channel2:949",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:29",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:28",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:28",18:14:35.071,26/2/2022
"Channel1:27",18:14:35.071,26/2/2022
"Channel2:25",18:14:35.071,26/2/2022
"Channel1:22",18:14:35.071,26/2/2022
"Channel2:26",18:14:35.071,26/2/2022
"Channel1:23",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:22",18:14:35.071,26/2/2022
"Channel2:26",18:14:35.071,26/2/2022
"Channel1:24",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:26",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:28",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:29",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:29",18:14:35.071,26/2/2022
"Channel1:28",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:23",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:25",18:14:35.071,26/2/2022
"Channel2:32",18:14:35.071,26/2/2022
"Channel1:22",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:26",18:14:35.071,26/2/2022
"Channel2:28",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:28",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:26",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:26",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:25",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:26",18:14:35.071,26/2/2022
"Channel2:28",18:14:35.071,26/2/2022
"Channel1:26",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:27",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:23",18:14:35.071,26/2/2022
"Channel2:25",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:26",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:29",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:28",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:27",18:14:35.071,26/2/2022
"Channel1:1023",18:14:35.071,26/2/2022
"Channel2:28",18:14:35.071,26/2/2022
"Channel1:24",18:14:35.071,26/2/2022
"Channel2:29",18:14:35.071,26/2/2022
"Channel1:26",18:14:35.071,26/2/2022
"Channel2:24",18:14:35.071,26/2/2022
"Channel1:27",18:14:35.071,26/2/2022
"Channel2:24",18:14:35.071,26/2/2022
"Channel1:26",18:14:35.081,26/2/2022
"Channel2:26",18:14:35.081,26/2/2022
"Channel1:25",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:25",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:28",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:26",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:28",18:14:35.081,26/2/2022
"Channel2:28",18:14:35.081,26/2/2022
"Channel1:25",18:14:35.081,26/2/2022
"Channel2:29",18:14:35.081,26/2/2022
"Channel1:25",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:26",18:14:35.081,26/2/2022
"Channel2:26",18:14:35.081,26/2/2022
"Channel1:26",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
